0 0 19 0 0 2 0 0 0 550 0.00 0.00 
1 0 0 0 0 2 1 0 0 550 0.00 0.00 
2 0 18 0 0 2 0 0 1 468 0.00 0.00 
3 0 1 0 0 2 1 0 1 468 0.00 0.00 
4 0 15 0 1 0 0 0 10 660 0.00 0.00 
5 0 4 0 1 0 1 0 10 660 0.00 0.00 
6 0 19 0 2 2 0 0 11 661 0.00 0.00 
7 0 0 0 2 2 1 0 11 661 0.00 0.00 
8 0 16 0 2 2 0 0 12 662 0.00 0.00 
9 0 3 0 2 2 1 0 12 662 0.00 0.00 
10 0 19 0 2 1 0 0 13 663 0.00 0.00 
11 0 0 0 2 1 1 0 13 663 0.00 0.00 
12 0 17 0 2 1 0 0 14 664 0.00 0.00 
13 0 2 0 2 1 1 0 14 664 0.00 0.00 
14 0 14 0 2 1 0 0 15 621 0.00 0.00 
15 0 5 0 2 1 1 0 15 621 0.00 0.00 
16 0 19 0 2 0 0 0 16 622 0.00 0.00 
17 0 0 0 2 0 1 0 16 622 0.00 0.00 
18 0 17 0 2 0 0 0 17 623 0.00 0.00 
19 0 2 0 2 0 1 0 17 623 0.00 0.00 
20 0 14 0 2 0 0 0 18 566 0.00 0.00 
21 0 5 0 2 0 1 0 18 566 0.00 0.00 
22 0 19 0 3 3 0 0 19 624 0.00 0.00 
23 0 0 0 3 3 1 0 19 624 0.00 0.00 
24 0 19 0 0 0 0 0 2 469 0.00 0.00 
25 0 0 0 0 0 1 0 2 469 0.00 0.00 
26 0 17 0 3 3 0 0 20 625 0.00 0.00 
27 0 2 0 3 3 1 0 20 625 0.00 0.00 
28 0 15 0 3 3 0 0 21 626 0.00 0.00 
29 0 4 0 3 3 1 0 21 626 0.00 0.00 
30 0 13 0 3 3 0 0 22 665 0.00 0.00 
31 0 6 0 3 3 1 0 22 665 0.00 0.00 
32 0 19 0 3 2 0 0 23 666 0.00 0.00 
33 0 0 0 3 2 1 0 23 666 0.00 0.00 
34 0 16 0 3 2 0 0 24 667 0.00 0.00 
35 0 3 0 3 2 1 0 24 667 0.00 0.00 
36 0 13 0 3 2 0 0 25 668 0.00 0.00 
37 0 6 0 3 2 1 0 25 668 0.00 0.00 
38 0 18 0 3 1 0 0 26 669 0.00 0.00 
39 0 1 0 3 1 1 0 26 669 0.00 0.00 
40 0 15 0 3 1 0 0 27 670 0.00 0.00 
41 0 4 0 3 1 1 0 27 670 0.00 0.00 
42 0 13 0 3 1 0 0 28 671 0.00 0.00 
43 0 6 0 3 1 1 0 28 671 0.00 0.00 
44 0 18 0 3 0 0 0 29 672 0.00 0.00 
45 0 1 0 3 0 1 0 29 672 0.00 0.00 
46 0 19 0 1 3 0 0 3 551 0.00 0.00 
47 0 0 0 1 3 1 0 3 551 0.00 0.00 
48 0 15 0 3 0 0 0 30 673 0.00 0.00 
49 0 4 0 3 0 1 0 30 673 0.00 0.00 
50 0 12 0 3 0 0 0 31 636 0.00 0.00 
51 0 7 0 3 0 1 0 31 636 0.00 0.00 
52 0 16 0 4 3 0 0 32 637 0.00 0.00 
53 0 3 0 4 3 1 0 32 637 0.00 0.00 
54 0 12 0 4 3 0 0 33 581 0.00 0.00 
55 0 7 0 4 3 1 0 33 581 0.00 0.00 
56 0 14 0 4 2 0 0 34 501 0.00 0.00 
57 0 5 0 4 2 1 0 34 501 0.00 0.00 
58 0 16 0 4 1 0 0 35 408 0.00 0.00 
59 0 3 0 4 1 1 0 35 408 0.00 0.00 
60 0 12 0 4 1 0 0 36 502 0.00 0.00 
61 0 7 0 4 1 1 0 36 502 0.00 0.00 
62 0 18 0 1 3 0 0 4 610 0.00 0.00 
63 0 1 0 1 3 1 0 4 610 0.00 0.00 
64 0 19 0 1 1 0 0 5 611 0.00 0.00 
65 0 0 0 1 1 1 0 5 611 0.00 0.00 
66 0 18 0 1 1 0 0 6 656 0.00 0.00 
67 0 1 0 1 1 1 0 6 656 0.00 0.00 
68 0 15 0 1 1 0 0 7 657 0.00 0.00 
69 0 4 0 1 1 1 0 7 657 0.00 0.00 
70 0 19 0 1 0 0 0 8 658 0.00 0.00 
71 0 0 0 1 0 1 0 8 658 0.00 0.00 
72 0 18 0 1 0 0 0 9 659 0.00 0.00 
73 0 1 0 1 0 1 0 9 659 0.00 0.00 
74 0 19 0 0 3 0 1 0 549 0.00 0.00 
75 0 0 0 0 3 1 1 0 549 0.00 0.00 
76 0 17 0 0 2 0 1 1 467 0.00 0.00 
77 0 2 0 0 2 1 1 1 467 0.00 0.00 
78 0 14 0 1 0 0 1 10 616 0.00 0.00 
79 0 5 0 1 0 1 1 10 616 0.00 0.00 
80 0 18 0 2 2 0 1 11 617 0.00 0.00 
81 0 1 0 2 2 1 1 11 617 0.00 0.00 
82 0 15 0 2 2 0 1 12 618 0.00 0.00 
83 0 4 0 2 2 1 1 12 618 0.00 0.00 
84 0 18 0 2 1 0 1 13 619 0.00 0.00 
85 0 1 0 2 1 1 1 13 619 0.00 0.00 
86 0 16 0 2 1 0 1 14 620 0.00 0.00 
87 0 3 0 2 1 1 1 14 620 0.00 0.00 
88 0 13 0 2 1 0 1 15 563 0.00 0.00 
89 0 6 0 2 1 1 1 15 563 0.00 0.00 
90 0 18 0 2 0 0 1 16 564 0.00 0.00 
91 0 1 0 2 0 1 1 16 564 0.00 0.00 
92 0 16 0 2 0 0 1 17 565 0.00 0.00 
93 0 3 0 2 0 1 1 17 565 0.00 0.00 
94 0 13 0 2 0 0 1 18 485 0.00 0.00 
95 0 6 0 2 0 1 1 18 485 0.00 0.00 
