x index;y index;crate;board;order;MEZ CH#;FEE CH#;PHY;Count;Holder;CableType;FEE-LEFT;;;;FEE-RIGHT;;;;
9;2;0;4;9;3;2;1;646;H0402;23;0;3;2;;9;3;2;;
10;2;0;4;10;3;3;1;647;H0406;;0;3;3;;9;3;3;;
11;2;0;4;11;3;4;1;648;H0482;;0;3;4;;9;3;4;;
12;2;0;4;12;3;5;1;649;H0577;;0;3;5;;9;3;5;;
13;2;0;3;4;1;5;1;650;H0863;;0;1;5;;9;1;5;;
14;2;0;3;5;2;2;1;651;H0808;20;0;2;2;;9;2;2;;
15;2;0;3;6;2;3;1;652;H0435;;0;2;3;;9;2;3;;
16;2;0;3;7;2;4;1;653;H0469;;0;2;4;;9;2;4;;
17;2;0;2;1;1;2;1;654;H0576;17;0;1;2;;9;1;2;;
18;2;0;2;2;1;3;1;655;H0806;;0;1;3;;9;1;3;;
0;3;0;1;20;5;5;0;615;H0815;;0;5;5;;9;5;5;;
1;3;0;2;15;4;4;0;616;H0864;;0;4;4;;9;4;4;;
2;3;0;2;16;4;5;0;617;H0454;;0;4;5;;9;4;5;;
3;3;0;2;17;5;2;0;618;H0472;17;0;5;2;;9;5;2;;
4;3;0;2;18;5;3;0;619;H0427;;0;5;3;;9;5;3;;
5;3;0;3;9;3;2;0;620;H0810;22;0;3;2;;9;3;2;;
6;3;0;3;10;3;3;0;621;H0809;;0;3;3;;9;3;3;;
7;3;0;3;11;3;4;0;622;H0423;;0;3;4;;9;3;4;;
8;3;0;4;8;2;5;0;623;H0475;;0;2;5;;9;2;5;;
9;3;0;4;9;3;2;0;624;H0483;23;0;3;2;;9;3;2;;
10;3;0;4;10;3;3;0;625;H0441;;0;3;3;;9;3;3;;
11;3;0;4;13;4;2;1;626;H0465;25;0;4;2;;9;4;2;;
12;3;0;4;14;4;3;1;627;H0474;;0;4;3;;9;4;3;;
13;3;0;3;8;2;5;1;628;H0487;;0;2;5;;9;2;5;;
